Folder;File;Program Version;SMILES;Atoms_1;Atoms_2;Atoms_3;Atoms_4;dihedral_1_orca;dihedral_2_orca;dihedral_3_orca;dihedral_4_orca;dihedral_1_xtb;dihedral_2_xtb;dihedral_3_xtb;dihedral_4_xtb;Number of Atoms;Magnitude (Debye);Dipole_xtb (Debye);Final Energy (Eh);Total energy xtb (Eh);HOMO_orca (eV);LUMO_orca (eV);HOMO-LUMO Gap (eV);HOMO_xtb (eV);LUMO_xtb (eV);HOMO-LUMO xtb (eV)
Group 1;1.log;5.0.4;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(C(C)(C)C)=CC(CC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;28-12-14-15;21-22-24-25;43-3-5-41;35-7-9-34;-0,995;1,327;0,426;-0,06;0,141;0,279;0,143;0,278;104;2.59984;2,478;-2006.93685764;-139,1776126;-6,029386;-0,616329;5.4131365906;-9,9169;-6,0708;3,846091
Group 1;2.log;5.0.4;OC1=C(CC2=C(C(CC3=C(O)C(CC4=CC(Br)=CC(CC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br;32-5-3-34;22-21-19-18;15-14-12-25;28-9-7-29;0,383;-0,312;-0,274;-0,448;-0,257;-0,258;-0,258;-0,257;56;3.53626;10,409;-11671.36048181;-102,8359833;-6,501089;-1,219379;5.2817871628;-10,8366;-7,3075;3,529071
Group 1;3.log;6.0.0;OC1=C(CC2=CC(C(C)(C)C)=CC3=C2O)C=C(C(C)(C)C)C=C1CC4=C(O)C(CC5=CC(C(C)(C)C)=CC(CC6=CC(C(C)(C)C)=CC(CC7=CC(C(C)(C)C)=CC(CC8=CC(C(C)(C)C)=CC(CC(C=C(C(C)(C)C)C=C9C3)=C9O)=C8O)=C7O)=C6O)=C5O)=CC(C(C)(C)C)=C4;22-23-25-96;98-28-30-31;37-38-40-41;47-48-50-51;4,051;161,379;4,5;-4,816;13,66;152,798;14,525;-13,48;208;0.055869847;0,028;-4018.07954477;-278,3716003;-5,983971;-0,646425;5.3376249556;-9,8131;-5,9846;3,828526
Group 1;4.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4O)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O)C=C5C(C)(C)C;25-24-22-21;15-14-12-28;34-9-7-35;41-5-3-43;-3,767;5,984;-7,231;5,17;-1,148;0,769;0,998;-1,16;96;6.75529;8,595;-3441.79958704;-139,4640442;-6,455184;-1,185991;5.2692699188;-9,8855;-7,0091;2,876384
Group 1;5.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O)C=CC=C1SC5=C(O)C4=CC=C5;17-7-9-16;14-12-29-30;32-26-24-23;21-3-5-19;-7,619;7,266;-7,194;7,688;-0,073;-0,065;-0,071;-0,065;48;5.05751;6,307;-2814.36372951;-88,79487298;-6,770151;-1,287216;5.483015465799999;-10,1069;-7,2734;2,833483
Group 1;6.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([N+]([O-])=O)=CC(SC1=C5)=C4O)=CC([N+]([O-])=O)=C3)=CC([N+]([O-])=O)=C2)O)C=C5[N+]([O-])=O;40-3-5-38;33-7-9-32;27-12-14-15;20-21-23-24;-12,06;12,839;-11,517;11,197;0,143;0,142;0,145;0,147;56;8.90506;11,928;-3630.94527138;-130,6135339;-8,002537;-2,881073;5.1215392282000005;-11,3749;-9,4569;1,918039
Group 1;7.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC([NH3+])=CC(SC1=C5)=C4O)=CC([NH3])=C3)=CC([NH3])=C2)O)C=C5[NH3].Cl[Sn-](Cl)(Cl)(Cl)Cl.Cl[Sn-](Cl)(Cl)([Cl+])Cl.Cl[Sn](Cl)(Cl)(Cl)Cl.Cl[Sn](Cl)(Cl)(Cl)Cl;23-25-28-29;32-34-37-38;41-43-10-11;14-16-19-20;-10,115;6,463;-6,992;9,068;-19,44;7,168;-3,667;15,834;84;15.095742482;6,226;-13099.69665416886;-204,7537027;-8,137123;-3,329347;4.807846209000001;-10,9557;-10,2584;0,697295
Group 1;8.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CBr)=CC(SC1=C5)=C4O)=CC(CBr)=C3)=CC(CBr)=C2)O)C=C5CBr;37-3-5-35;31-7-9-30;26-12-14-15;19-20-22-23;-7,546;7,894;-8,808;8,555;-0,053;-0,055;-0,05;-0,055;60;5.07321;6,767;-13263.08146633;-115,7680775;-7,005581;-1,673232;5.332427578200001;-10,6503;-7,9207;2,729573
Group 1;9.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(CCl)=CC(SC1=C5)=C4O)=CC(CCl)=C3)=CC(CCl)=C2)O)C=C5CCl;15-14-12-26;30-9-7-31;35-5-3-37;23-22-20-19;-3,073;3,825;-3,804;2,93;0,055;0,055;0,055;0,054;60;5.47741;6,458;-4808.49852077;-117,6360371;-7,035595;-1,659;5.3766733146;-10,4254;-7,6569;2,768507
Group 1;10.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O)=CC(Br)=C3)=CC(Br)=C2)O)C=C5Br;18-19-21-22;34-3-5ג€“32;29-7-9-28;25-12-14-15;-3,199;3,488;-3,514;3,38;-0,082;-0,081;-0,082;-0,079;48;0.48493;4,922;-13106.21505352;-103,1059877;-6,900437;-1,822321;5.078191468;-10,8704;-8,1787;2,691772
Group 1;11.log;5.0.4;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(S(=O)([O-])=O)=CC(SC1=C5)=C4O)=CC(S(=O)([O-])=O)=C3)=CC(S(=O)([O-])=O)=C2)O)C=C5S(=O)([O-])=O.[Na+].[Na+].[Na+].[Na+];23-25-28-29;32-34-37-38;41-42-10-11;14-16-19-20;-0,751;-0,516;-0,898;-0,28;3,304;-5,156;3,181;-5,04;64;0.562215437;2,673;-5957.81484037633;-150,1167043;-7,323432;-2,311193;5.0123126686;-10,8524;-8,1793;2,673119
Group 2;12.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4O[Si](C)(C(C)(C)C)C)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)O[Si](C)(C)C(C)(C)C)C=C5C(C)(C)C;48-5-3-57;25-24-22-21;15-14-12-35;41-9-7-42;-25,003;47,485;-44,771;22,802;-26,331;49,872;-46,405;24,08;138;4.582466999;6,816;-4494.495530045175;-183,001019;-5,672949;-1,140876;4.5321403042;-9,3884;-7,0515;2,33691
Group 2;13.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)O[Si](C)(C)C(C)(C)C)C=CC=C1SC5=C(O[Si](C)(C(C)(C)C)C)C4=CC=C5;19-5-3-28;30-31-33-46;44-43-12-14;16-9-7-17;-31,279;41,243;-38,646;29,955;-42,895;59,516;-58,477;45,179;90;4.413669598;5,257;-3866.626382783731;-132,3346619;-5,846719;-1,242563;4.6042233028;-9,5801;-7,2416;2,338474
Group 2;14.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(Br)=CC(SC1=C5)=C4O[Si](C)(C(C)(C)C)C)=CC(Br)=C3)=CC(Br)=C2)O[Si](C)(C)C(C)(C)C)C=C5Br;39-5-3-48;22-21-19-18;15-14-12-32;35-9-7ג€“36;-35,519;53,085;-51,724;33,526;-36,483;59,846;-58,827;35,868;90;4.485054674;7,286;-14158.432147603688;-146,6498271;-6,170584;-1,661694;4.5089561914;-10,3365;-8,0263;2,310153
Group 2;15.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OS(C(F)(F)F)(=O)=O)C=CC=C1SC5=C(OS(=O)(C(F)(F)F)=O)C4=CC=C5;44-43-12-14;16-9-7-17;19-5-3-28;30-31-33-46;-38,871;50,702;-45,375;48,437;-50,159;57,219;-54,038;55,111;60;7.204234699;8,129;-4583.596647008348;-143,2144891;-6,335211;-1,688443;4.6468363552000005;-10,3133;-7,9049;2,408346
Group 3;16.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OC)C=C5C(C)(C)C;45-3-5-45;36-7-9-35;29-12-14-15;21-22-24-25;0;-21,895;46,997;-48,442;0;-23,754;45,999;-49,852;102;5.747549721;7,516;-3520.932748240593;-145,7688415;-5,616623;-1,26874;4.347946337600001;-9,3358;-7,227;2,108821
Group 3;17.log;5.0.4;CC(C1=CC2=C(OCCC)C(SC3=CC(C(C)(C)C)=CC(SC4=CC(C(C)(C)C)=CC(SC5=CC(C(C)(C)C)=CC(S2)=C5OCCC)=C4OCCC)=C3OCCC)=C1)(C)C;30-31-34-33;40-41-4-5;58-11-14-13;20-21-23-24;0,523;0;0,773;179,752;8,55;-7,679;7,921;174,575;132;0.11241;0,216;-3912.27454962;-177,3971212;-5,985304;-0,792248;5.1931324216;-9,4967;-6,6271;2,869601
Group 3;18.log;5.0.4;BrC1=CC(SC2=CC(Br)=CC(SC3=C(OCCCC)C(SC4=CC(Br)=CC(SC5=C1)=C4OCCCC)=CC(Br)=C3)=C2OCCCC)=C5OCCCC;3-4-7-6;11-10-13-40;37-20-23-22;27-26-29-30;-16,111;16,443;-14,475;14,515;-12,569;12,568;-14,783;14,784;96;0.39822;0,814;-13733.55262387;-153,707872;-6,58928;-1,385775;5.2035815992000005;-10,3929;-7,841;2,551929
Group 3;19.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(SC4=CC(C(C)(C)C)=CC(SC1=C5)=C4OCCCCCCCCCCCC)=CC(C(C)(C)C)=C3)=CC(C(C)(C)C)=C2)OCCCCCCCCCCCC)C=C5C(C)(C)C;53-5-3-67;25-24-22-21;15-14-12-40;46-9-7-47;-50,854;17,967;-19,618;50,512;-52,172;23,795;-22,13;49,974;168;6.078034656;6,817;-4384.227065311031;-215,4019277;-5,52386;-1,285611;4.238311607;-9,2812;-7,1922;2,089088
Group 3;20.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCCCCCC)C4=CC=C5;21-20-18-17;15-14-12-36;38-9-7-39;41-5-3-55;29,794;-29,908;54,61;-55,916;38,963;-40,7;58,721;-60,541;120;4.98438938;4,891;-3759.202896489928;-164,7322466;-5,70231;-1,436496;4.2658767552;-9,5402;-7,3506;2,189568
Group 3;21.log;6.0.0;OC1=C(SC2=C(C(SC3=C(O)C(S4)=CC=C3)=CC=C2)OCCCCCCCC)C=CC=C1SC5=C(OCCCCCCCC)C4=CC=C5;21-20-18-17;15-14-12-32;34-9-7-35;37-5-3-47;40,206;-34,638;57,345;-50,645;41,932;-46,436;56,299;-61,811;96;5.43683356;5,2;-3444.23712409;-139,4154907;-5,793059;-1,392605;4.4005187624;-9,5858;-7,314;2,271817
