Index,Actual_Final_Energy,Predicted_Final_Energy,Baseline_Final_Energy_xTB,Actual_delta_Energy_per_atom,Predicted_delta_Energy_per_atom,Number_of_Atoms,Abs_Error_Final_Energy,Abs_Error_delta_Energy_per_atom
177,-19030.159836072264,-9136.790052130762,-424.8661706,-63.71675912832968,-29.835356,292,9893.369783941502,33.881403369662685
67,-14519.041680875598,-5137.904342347656,-217.032211,-91.67954788381793,-31.544052,156,9381.137338527942,60.135495759794495
68,-14676.01611562081,-5532.129578335352,-229.6894996,-85.99003938107626,-31.562143,168,9143.88653728546,54.427896055270594
9,-13106.21505352,-5577.5639955125,-103.1059877,-270.89810553791665,-114.05121,48,7528.6510580075,156.8468970418229
6,-13099.69665416886,-6048.0658670066405,-204.7537027,-153.51122561272453,-69.56324,84,7051.630787162219,83.947985561455
247,-9226.004732844836,-3888.670632292578,-139.3522424,-108.17443441005757,-44.634743,84,5337.334100552258,63.539691673241165
86,-4945.956388207651,-7986.8863970350585,-250.7899386,-24.711402366356058,-40.716297,190,3040.9300088274076,16.004894783302145
24,-4258.848719227213,-7291.153732311719,-181.2526703,-39.20765431660782,-68.36443,104,3032.305013084506,29.156778971966396
246,-6801.161979846189,-4115.866901644141,-174.6338389,-55.221067841218236,-32.84361,120,2685.295078202048,22.377458985017064
73,-10372.108088521496,-8597.641979082813,-239.4729117,-83.05438669525816,-68.50958,122,1774.466109438683,14.54480417572691
10,-5957.81484037633,-7445.39453633125,-150.1167043,-90.74528337619266,-113.988716,64,1487.5796959549198,23.24343274929562
120,-7487.241250320296,-8930.25103504121,-400.9463628,-26.441398834030952,-31.825764,268,1443.0097847209145,5.384364868361626
117,-1700.704719823123,-3141.5741962396096,-77.75891914,-45.081827796753416,-85.10598,36,1440.8694764164866,40.02415212268018
126,-6406.61373609069,-7632.359083098438,-346.1526622,-23.86008296807358,-28.685852,254,1225.745347007748,4.825769082707669
259,-5162.860926769604,-6255.127468229687,-209.7213403,-34.396802683816695,-41.981987,144,1092.2665414600833,7.585184315695024
119,-7330.305464074455,-8420.3791080125,-388.2882877,-27.117254595212714,-31.375355,256,1090.0736439380444,4.258100171632989
45,-2781.37028635,-3823.2936215958007,-193.9454084,-17.48260052668919,-24.522623,148,1041.923335245801,7.040022535444599
181,-3905.264348922762,-4942.478532058593,-171.8404095,-31.11186616185635,-39.755318,120,1037.2141831358313,8.64345152613193
118,-7173.348971854622,-8123.822751843067,-375.6308802,-27.859500375633694,-31.754885,244,950.4737799884451,3.895384344214939
221,-5813.431400794719,-6580.1344836203125,-292.5288928,-28.167869938748566,-32.07962,196,766.7030828255938,3.9117504225795585
213,-2884.636533692757,-3648.3243249138673,-196.1924432,-19.203172074948263,-24.658085,140,763.6877912211103,5.454912794436503
222,-5970.448120420558,-6699.509022190625,-305.1689343,-27.236919164041144,-30.74202,208,729.0609017700672,3.505100489279169
193,-4143.805118022667,-4834.337344517187,-269.2876619,-22.014303727969697,-25.937782,176,690.5322264945207,3.9234785596279593
46,-2942.597641771503,-3562.060587703125,-206.590617,-17.100043904821895,-20.971687,160,619.462945931622,3.871643412072636
104,-5822.789975285549,-6433.914792241406,-280.6076023,-30.120556374921467,-33.441887,184,611.1248169558567,3.321330526934002
210,-4979.930160109581,-5532.792129139649,-243.890411,-28.190712792318934,-31.481558,168,552.8619690300675,3.2908450537504024
256,-6337.982580717114,-6833.884305477539,-281.986341,-32.2127459559421,-34.85052,188,495.90172476042517,2.6377751317043874
19,-3759.202896489928,-4226.230812273828,-164.7322466,-29.953922082416067,-33.84582,120,467.0279157838995,3.891899298199167
258,-5084.320073864676,-5515.787883445703,-203.4174916,-35.36885929177301,-38.495438,138,431.4678095810277,3.126578330297299
162,-9359.529487331156,-8929.577273100782,-200.7859523,-67.34370246346438,-64.18229,136,429.952214230374,3.1614133399292257
60,-4850.118753567693,-5250.547844676757,-249.128701,-23.47443904371272,-25.517445,196,400.42909110906476,2.0430055668829823
201,-4352.203721695959,-3988.745813377539,-193.2150364,-34.65823904413299,-31.629423,120,363.45790831841987,3.0288159026534984
152,-1217.171986270181,-1562.169227778672,-79.01837939,-21.474596356229828,-27.983978,53,344.997241508491,6.509381915254547
111,-5124.687862688469,-4805.900670645313,-255.8790642,-26.460917383089505,-24.728378,184,318.7871920431562,1.7325390871910678
137,-18954.52445612469,-18643.211579623632,-810.7116254,-32.63275688979261,-32.07284,556,311.3128765010588,0.5599152455055005
238,-4699.891370914448,-4390.274207875781,-177.3442152,-37.687892964287066,-35.10775,120,309.61716303866706,2.580143025322222
237,-5542.702353287023,-5241.395770003321,-233.3217191,-34.034491244788605,-32.10304,156,301.3065832837019,1.9314524569468077
16,-3912.27454962,-4208.034221419726,-177.3971212,-28.294525972878787,-30.53513,132,295.7596717997262,2.240603574240353
75,-850.78702574,-608.4466632848487,-51.09607544,-29.618183344444443,-20.642614,27,242.3403624551513,8.97556897982042
146,-19425.262815912112,-19625.699572982423,-848.6839785,-31.379356144277214,-31.717932,592,200.4367570703107,0.3385756031593097
30,-3750.239039491037,-3938.056548321875,-159.5323784,-32.64278782810034,-34.35022,110,187.81750883083805,1.7074318984621613
141,-19111.330955200327,-18929.032420084375,-823.4603986,-32.196955205282265,-31.876007,568,182.29853511595138,0.32094812520413996
125,-8778.653452547445,-8933.823204242286,-397.6335909,-31.272462170326286,-31.851454,268,155.16975169484067,0.5789916108016442
15,-3520.932748240593,-3368.806820625977,-145.7688415,-33.08984222294699,-31.598412,102,152.1259276146161,1.4914306628883978
220,-4989.024179490191,-5137.385999212304,-336.2898841,-20.05488920426807,-20.69438,232,148.36181972211307,0.6394906022504863
200,-5749.270418074316,-5635.256110949805,-291.2547224,-27.29007847837158,-26.720007,200,114.0143071245111,0.5700715356225565
33,-3675.421897743889,-3768.9242755342775,-156.3144504,-31.991885884944445,-32.841908,110,93.50237779038844,0.8500216162762584
97,-4285.883152389057,-4375.590103621973,-280.8029561,-21.303618065367324,-21.780783,188,89.70695123291625,0.4771646342176368
116,-949.946878559611,-1018.4686786532325,-60.30396384,-23.411655650516078,-25.21486,38,68.52180009362144,1.8032052656216173
139,-18797.44478371761,-18848.490528740625,-798.1387221,-33.08695967209119,-33.180794,544,51.045745023016934,0.0938340901158412
216,-3501.28498385,-3547.9694903501954,-237.7365039,-19.42588380922619,-19.703768,168,46.68450650019531,0.27788396726306885
115,-816.90400237,-855.779258324834,-50.55092962,-25.545102424999996,-26.840944,30,38.875255954834074,1.2958418651611368
82,-3615.453286558983,-3635.101572971045,-152.3634939,-32.36532516503723,-32.548954,107,19.64828641206168,0.18362884497253873
215,-5394.65584485,-5380.1873234031245,-264.7954777,-29.48195613304598,-29.398804,174,14.468521446875457,0.08315242210847984
