outer_fold,repeat_id,split_id,model,target,MAE,RMSE,R2,MedAE,Q90_AE,Q95_AE,Max_AE,n_samples,best_params_json,best_inner_score,energy_target_mode,weight_scheme
1,1,1,LinearRegression,HOMO,0.17541316451559652,0.23127192053843557,0.5223461599143544,0.1525933875682366,0.3517554398170591,0.4926811513591538,0.6841523901540363,43,{},0.13620300309309089,,
1,1,1,LinearRegression,delta_homo,0.17541316451559655,0.2312719205384356,-0.15180804382462654,0.15259338756823615,0.3517554398170591,0.4926811513591538,0.6841523901540363,43,{},0.13620300309309089,,
1,1,1,Ridge,HOMO,0.15451103062556884,0.2041491465680363,0.6278118023268968,0.11416018017017038,0.33929099616041203,0.4737662126004809,0.5089954108619645,43,"{""alpha"": 15.183714020554566}",0.13171337438447167,,
1,1,1,Ridge,delta_homo,0.15451103062556887,0.20414914656803632,0.1025103873976928,0.11416018017017038,0.3392909961604118,0.47376621260048096,0.5089954108619641,43,"{""alpha"": 15.183714020554566}",0.13171337438447167,,
1,1,1,ElasticNet,HOMO,0.15874928031682387,0.2124477785058399,0.5969380068396137,0.11532452536021687,0.3360837272568223,0.48612033037848296,0.5777782443503474,43,"{""alpha"": 0.03774298069767339, ""l1_ratio"": 0.1667549413849584}",0.13212277150251706,,
1,1,1,ElasticNet,delta_homo,0.1587492803168238,0.21244777850583982,0.02806173232297915,0.11532452536021731,0.33608372725682184,0.4861203303784833,0.5777782443503474,43,"{""alpha"": 0.03774298069767339, ""l1_ratio"": 0.1667549413849584}",0.13212277150251706,,
1,1,1,KernelRidge,HOMO,0.1431297290526411,0.19293254589829026,0.6675866552684496,0.09620598064478347,0.30150959682961526,0.32435711150469737,0.7209661352307846,43,"{""alpha"": 0.12902956302679014, ""gamma"": 0.014997882709350294}",0.11980092976285604,,
1,1,1,KernelRidge,delta_homo,0.14312972905264107,0.1929325458982902,0.19842293266647582,0.09620598064478303,0.30150959682961526,0.3243571115046977,0.7209661352307846,43,"{""alpha"": 0.12902956302679014, ""gamma"": 0.014997882709350294}",0.11980092976285604,,
1,1,1,RandomForest,HOMO,0.14438490528749068,0.20797639199368415,0.6137259445149061,0.09395273500476176,0.29934433613063705,0.35164407268706366,0.7661319162890283,43,"{""n_estimators"": 993, ""max_depth"": 11, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2""}",0.12093120299682815,,
1,1,1,RandomForest,delta_homo,0.14438490528749068,0.20797639199368415,0.06854393937518433,0.0939527350047622,0.29934433613063693,0.35164407268706405,0.7661319162890283,43,"{""n_estimators"": 993, ""max_depth"": 11, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""log2""}",0.12093120299682815,,
